Time,Turbidity (NTU),TDS (ppm),Temperature (°C),MQ4 Gas Volume ,Red,Green,Blue,Probable Bacterial Contamination %,,,,,,,,,,,,,
11:57:26,935.48,19.55,30.19,0.67,26,50,50,60,,,,,,,,,,,,,
11:57:29,935.48,19.55,30.19,0.67,27,50,50,60,,,,,,,,,,,,,
11:57:31,1310.85,24.44,30.12,0.67,26,50,49,60,,,,,,,,,,,,,
11:57:34,1252.20,19.55,30.06,0.67,26,43,49,60,,,,,,,,,,,,,
11:57:36,1281.52,19.55,30.12,0.67,26,49,49,60,,,,,,,,,,,,,
11:57:39,1275.66,19.55,30.12,0.67,26,50,50,60,,,,,,,,,,,,,
11:57:41,1258.06,19.55,30.12,0.66,26,49,49,60,,,,,,,,,,,,,
11:57:44,1269.79,19.55,30.12,0.66,26,49,49,60,,,,,,,,,,,,,
11:57:46,1252.20,19.55,30.19,0.66,27,50,50,60,,,,,,,,,,,,,
11:57:49,1258.06,19.55,30.19,0.65,25,48,47,60,,,,,,,,,,,,,
11:57:51,1293.26,19.55,30.19,0.65,24,46,46,60,,,,,,,,,,,,,
11:57:54,1281.52,19.55,30.19,0.65,24,46,46,60,,,,,,,,,,,,,
11:57:57,1281.52,24.44,30.19,0.65,24,46,46,60,,,,,,,,,,,,,
11:57:59,1293.26,327.47,30.12,0.65,24,46,46,60,,,,,,,,,,,,,
11:58:02,1269.79,562.07,30.06,0.64,27,50,50,80,,,,,,,,,,,,,
11:58:04,1275.66,571.85,30.12,0.65,26,50,49,80,,,,,,,,,,,,,
11:58:07,1258.06,571.85,30.12,0.64,27,50,50,80,,,,,,,,,,,,,
11:58:09,1263.93,571.85,30.12,0.64,26,48,49,80,,,,,,,,,,,,,
11:58:12,1275.66,571.85,30.06,0.64,25,48,48,80,,,,,,,,,,,,,
11:58:14,331.38,557.18,30.12,0.64,26,48,48,80,,,,,,,,,,,,,
11:58:17,2577.71,562.07,30.12,0.64,26,49,49,80,,,,,,,,,,,,,
11:58:19,2583.58,557.18,30.19,0.64,26,49,49,80,,,,,,,,,,,,,
11:58:22,1175.95,557.18,30.25,0.64,26,49,48,80,,,,,,,,,,,,,
11:58:24,1187.68,557.18,30.31,0.63,26,49,48,80,,,,,,,,,,,,,
11:58:27,1234.60,557.18,30.31,0.63,26,49,44,80,,,,,,,,,,,,,
11:58:29,-695.01,557.18,30.44,0.63,26,49,43,60,,,,,,,,,,,,,
11:58:32,859.24,542.52,30.44,0.63,27,51,45,80,,,,,,,,,,,,,
11:58:34,718.47,562.07,30.44,0.63,27,50,50,80,,,,,,,,,,,,,
11:58:37,912.02,566.96,30.44,0.63,28,52,47,80,,,,,,,,,,,,,
11:58:39,554.25,522.97,30.44,0.63,30,50,56,80,,,,,,,,,,,,,
11:58:42,648.09,601.17,31.12,0.63,30,50,56,80,,,,,,,,,,,,,
11:58:44,782.99,508.31,31.81,0.62,29,54,54,80,,,,,,,,,,,,,
11:58:47,695.01,537.63,32.31,0.62,28,53,53,80,,,,,,,,,,,,,
11:58:49,706.74,571.85,32.63,0.62,26,48,48,80,,,,,,,,,,,,,
11:58:52,953.08,571.85,32.81,0.62,24,47,47,80,,,,,,,,,,,,,
