created_at,entry_id,Temp,TDS,Turbidity,pH,TCS3200 Red,TCS3200 Green,TCS3200 Blue,TCS32745 Color Temp ,latitude,longitude,elevation,status
2024-11-29T11:58:04+00:00,1,-127,192,2219,-90.30369,116,117,91,,,,,
2024-11-29T11:58:22+00:00,2,-127,199,2214,-90.30369,118,118,91,,,,,
2024-11-29T11:58:45+00:00,3,-127,192,2106,-90.30369,125,125,96,,,,,
2024-11-29T11:59:06+00:00,4,-127,183,1955,-90.30369,113,111,85,,,,,
2024-11-29T11:59:24+00:00,5,-127,0,2068,-90.30369,118,120,93,,,,,
2024-11-29T11:59:42+00:00,6,-127,0,2083,-90.30369,119,120,93,,,,,
2024-11-29T12:00:04+00:00,7,-127,99,1872,-56.17204,119,120,93,,,,,
2024-11-29T12:00:24+00:00,8,-127,0,2094,-90.30369,123,123,98,,,,,
2024-11-29T12:00:41+00:00,9,-127,101,1862,-56.52504,120,120,92,,,,,
2024-11-29T12:01:06+00:00,10,-127,123,2034,-55.84621,123,124,96,,,,,
2024-11-29T12:01:33+00:00,11,-127,0,2005,-67.71217,124,124,95,,,,,
2024-11-29T12:01:53+00:00,12,-127,99,2142,-73.27859,130,126,96,,,,,
2024-11-29T12:02:11+00:00,13,-127,0,1874,-90.30369,127,125,95,,,,,
2024-11-29T12:02:27+00:00,14,-127,80,1853,-73.22428,116,113,86,,,,,
2024-11-29T12:02:48+00:00,15,-127,0,1669,-90.30369,110,110,84,,,,,
2024-11-29T12:03:06+00:00,16,-127,2994,1605,-55.14022,115,117,91,,,,,
2024-11-29T12:03:23+00:00,17,-127,2719,1123,-90.30369,112,116,91,,,,,
2024-11-29T12:03:38+00:00,18,-127,2659,930,-65.29554,113,116,91,,,,,
2024-11-29T12:03:59+00:00,19,-127,2960,1088,-90.30369,113,116,89,,,,,
2024-11-29T12:04:19+00:00,20,-127,2613,859,-56.00912,116,120,94,,,,,
2024-11-29T12:04:42+00:00,21,-127,2639,1683,-66.1916,122,126,99,,,,,
2024-11-29T12:05:03+00:00,22,-127,2879,1742,-56.09058,155,164,128,,,,,
2024-11-29T12:05:25+00:00,23,-127,3186,1824,-56.00912,167,188,149,,,,,
2024-11-29T12:05:45+00:00,24,-127,3179,2059,-55.98197,166,186,147,,,,,
2024-11-29T12:06:06+00:00,25,-127,3178,2034,-90.30369,165,185,147,,,,,
2024-11-29T12:06:27+00:00,26,-127,2895,1798,-65.51276,227,236,184,,,,,
2024-11-29T12:06:45+00:00,27,-127,2903,1818,-57.28532,115,114,90,,,,,
2024-11-29T12:07:03+00:00,28,-127,2895,2064,-90.30369,119,119,95,,,,,
2024-11-29T12:07:24+00:00,29,-127,2895,1871,-65.56707,420,487,380,,,,,
2024-11-29T12:07:45+00:00,30,-127,0,2111,-90.30369,29,29,23,,,,,
2024-11-29T12:08:14+00:00,31,-127,0,1813,-90.30369,257,250,185,,,,,
2024-11-29T12:08:32+00:00,32,-127,96,1785,-73.3872,31,30,24,,,,,
2024-12-03T11:45:40+00:00,33,-127,91,1535,-55.84621,64,63,50,,,,,
2024-12-03T11:46:01+00:00,34,-127,0,1525,-90.30369,59,58,46,,,,,
2024-12-03T11:46:22+00:00,35,-127,95,1744,-55.65613,59,59,47,,,,,
2024-12-03T11:46:42+00:00,36,-127,0,1525,-90.30369,63,62,49,,,,,
2024-12-03T11:47:00+00:00,37,-127,92,1746,-56.44358,59,59,47,,,,,
2024-12-03T11:47:18+00:00,38,-127,0,1373,-65.024,92,162,145,,,,,
2024-12-03T11:47:39+00:00,39,-127,96,1596,-55.33029,89,100,91,,,,,
2024-12-03T11:48:00+00:00,40,-127,0,1530,-90.30369,141,223,194,,,,,
2024-12-03T11:48:21+00:00,41,-127,0,1724,-55.65613,55,55,44,,,,,
2024-12-03T11:48:40+00:00,42,-127,2420,2427,-90.30369,107,125,101,,,,,
2024-12-03T11:49:00+00:00,43,-127,0,1698,-72.95275,62,61,48,,,,,
2024-12-03T11:49:21+00:00,44,-127,0,1737,-56.00912,59,59,46,,,,,
2024-12-03T11:49:42+00:00,45,-127,80,1523,-90.30369,59,59,47,,,,,
2024-12-03T11:50:03+00:00,46,-127,81,1523,-90.30369,59,59,47,,,,,
2024-12-03T11:50:24+00:00,47,-127,0,1524,-90.30369,60,59,47,,,,,
2024-12-03T11:50:45+00:00,48,-127,0,1712,-90.30369,60,59,47,,,,,
2024-12-03T11:51:06+00:00,49,-127,84,1520,-90.30369,60,60,47,,,,,
2024-12-03T11:51:27+00:00,50,-127,0,1510,-90.30369,64,63,49,,,,,
2024-12-03T11:51:48+00:00,51,-127,0,1627,-90.30369,60,59,47,,,,,
2024-12-03T11:52:09+00:00,52,-127,75,1424,-90.30369,62,62,49,,,,,
2024-12-03T11:52:30+00:00,53,-127,82,1424,-90.30369,62,62,50,,,,,
2024-12-03T11:53:53+00:00,54,-127,0,1606,20.88889,63,62,50,9864,,,,
2024-12-03T11:54:15+00:00,55,-127,0,1619,-71.2421,64,64,51,10164,,,,
2024-12-03T11:54:38+00:00,56,-127,112,1383,-90.30369,64,64,51,10288,,,,
2024-12-03T11:54:54+00:00,57,-127,110,1388,-90.30369,64,63,51,10249,,,,
2024-12-03T11:55:15+00:00,58,-127,91,1369,-90.30369,66,65,51,7537,,,,
2024-12-03T11:55:31+00:00,59,-127,107,1614,-55.05876,62,61,49,11002,,,,
2024-12-03T11:55:47+00:00,60,-127,112,1380,-90.30369,62,60,48,6773,,,,
2024-12-03T11:56:03+00:00,61,-127,0,1613,-55.27599,62,60,48,6736,,,,
2024-12-03T11:56:19+00:00,62,-127,0,1616,-55.27599,62,60,48,6219,,,,
2024-12-03T11:56:34+00:00,63,-127,107,1390,-55.27599,62,60,48,6742,,,,
2024-12-03T11:56:58+00:00,64,-127,89,1379,-90.30369,64,65,51,7366,,,,
2024-12-03T11:57:21+00:00,65,-127,112,1388,-54.5157,64,64,50,7366,,,,
2024-12-03T11:57:36+00:00,66,-127,111,1391,-90.30369,62,62,49,18629,,,,
2024-12-03T11:57:52+00:00,67,-127,112,1402,-55.62898,72,82,66,3028,,,,
2024-12-03T11:58:08+00:00,68,-127,0,1710,-90.30369,105,127,106,2774,,,,
2024-12-03T11:58:31+00:00,69,-127,110,1707,-74.55479,45,46,37,4056,,,,
2024-12-03T11:58:47+00:00,70,-127,106,1490,-90.30369,65,66,52,13492,,,,
2024-12-03T11:59:03+00:00,71,-127,0,1483,-90.30369,119,147,119,3100,,,,
2024-12-03T11:59:18+00:00,72,-127,110,1738,-55.14022,99,114,93,2961,,,,
2024-12-03T12:05:57+00:00,73,-127,100,1490,19.17823,82,82,65,2664,,,,
2024-12-03T12:06:13+00:00,74,-127,0,4095,-59.07744,82,75,58,5515,,,,
2024-12-03T12:06:28+00:00,75,-127,109,1522,-90.30369,46,45,35,2717,,,,
2024-12-03T12:06:44+00:00,76,-127,0,1756,-55.27599,42,43,33,3159,,,,
2024-12-03T12:08:49+00:00,77,-127,0,1727,20.37298,64,63,50,6100,,,,
2024-12-03T12:09:05+00:00,78,-127,0,1515,-64.69817,160,187,145,19924,,,,
2024-12-03T12:09:21+00:00,79,-127,0,1514,-62.71598,192,217,166,10230,,,,
2024-12-03T12:19:01+00:00,80,-127,60,1531,-90.30369,77,77,61,11285,,,,
2024-12-03T12:19:17+00:00,81,-127,133,1771,-52.96796,96,102,80,15920,,,,
2024-12-03T12:19:33+00:00,82,-127,0,1766,-90.30369,105,107,83,15665,,,,
2024-12-03T12:19:58+00:00,83,-127,101,1701,-52.28913,108,110,86,13758,,,,
2024-12-03T12:21:22+00:00,84,-127,122,1728,-53.59248,105,108,84,13207,,,,
2024-12-03T12:21:43+00:00,85,-127,0,1489,-90.30369,104,107,83,14393,,,,
2024-12-03T12:22:05+00:00,86,-127,0,1709,-90.30369,104,107,84,15098,,,,
2024-12-03T12:22:26+00:00,87,-127,0,1482,-90.30369,108,111,87,12934,,,,
2024-12-03T12:22:48+00:00,88,-127,129,1750,-90.30369,256,312,250,6227,,,,
2024-12-03T12:23:09+00:00,89,-127,0,1744,-90.30369,104,105,82,7111,,,,
